pl_name,hostname,default_flag,sy_snum,sy_pnum,discoverymethod,disc_year,disc_facility,soltype,pl_controv_flag,pl_refname,pl_orbper,pl_orbpererr1,pl_orbpererr2,pl_orbperlim,pl_orbsmax,pl_orbsmaxerr1,pl_orbsmaxerr2,pl_orbsmaxlim,pl_rade,pl_radeerr1,pl_radeerr2,pl_radelim,pl_radj,pl_radjerr1,pl_radjerr2,pl_radjlim,pl_massj,pl_massjerr1,pl_massjerr2,pl_massjlim,pl_dens,pl_denserr1,pl_denserr2,pl_denslim,pl_orbeccen,pl_orbeccenerr1,pl_orbeccenerr2,pl_orbeccenlim,pl_eqt,pl_eqterr1,pl_eqterr2,pl_eqtlim,pl_orbincl,pl_orbinclerr1,pl_orbinclerr2,pl_orbincllim,ttv_flag,pl_ratdor,pl_ratdorerr1,pl_ratdorerr2,pl_ratdorlim,pl_rvamp,pl_rvamperr1,pl_rvamperr2,pl_rvamplim,st_refname,st_spectype,st_teff,st_tefferr1,st_tefferr2,st_tefflim,st_rad,st_raderr1,st_raderr2,st_radlim,st_mass,st_masserr1,st_masserr2,st_masslim,st_met,st_meterr1,st_meterr2,st_metlim,st_metratio,st_logg,st_loggerr1,st_loggerr2,st_logglim,st_age,st_ageerr1,st_ageerr2,st_agelim,st_dens,st_denserr1,st_denserr2,st_denslim,st_vsin,st_vsinerr1,st_vsinerr2,st_vsinlim,Mass_Ratio_q,Mass_Ratio_q_err1,Mass_Ratio_q_err2,a_over_Rs,a_over_Rs_err1,a_over_Rs_err2,Hill_Radius_AU,Hill_Radius_AU_err1,Hill_Radius_AU_err2,v_esc_over_v_orb,v_esc_over_v_orb_err1,v_esc_over_v_orb_err2,Safronov_Number,Safronov_Number_err1,Safronov_Number_err2,log_g_p_cgs,log_g_p_cgs_err1,log_g_p_cgs_err2,pl_type,GMM_cluster_final,first_gmm_max_probs,GMM_2nd_cluster,GMM_2nd_prob
WASP-165 b,WASP-165,1,1,1,Transit,2018,SuperWASP-South,Published Confirmed,0,<a refstr=LENDL_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019MNRAS.482..301L/abstract target=ref>Lendl et al. 2019</a>,3.465509,2.3e-05,-2.30E-05,0,0.04823,0.00091,-0.00092,0,14.12334,2.12971,-1.90553,0,1.26,0.19,-0.17,0,0.658,0.097,-0.092,0,0.44,0.25,-0.15,0,0,,,0,1624,93,-89,0,84.9,2.5,-1.7,0,0,5.93,0.67,-0.55,0,76,10,-10,0,<a refstr=LENDL_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019MNRAS.482..301L/abstract target=ref>Lendl et al. 2019</a>,G6,5599,150,-150,0,1.75,0.18,-0.18,0,1.248,0.072,-0.07,0,0.33,0.13,-0.13,0,[Fe/H],,,,,4.77,0.92,-0.92,0,0.328,0.13,-0.083,0,,,,,0.000503121,7.935558218477786e-05,-7.61E-05,5.926370562023861,0.6197405613629882,-0.619963444,0.002659711,0.000232406,-0.000224441,0.2838976491226679,0.055796402,-0.04752539,8.14850725410255e+74,8.14850725410255e+74,-8.15E+74,3.0116718417421855,0.1335382510770753,-0.144368703,HJ,A1,0.999988456,B,1.1543509643524752e-05
WASP-166 b,WASP-166,1,1,1,Transit,2019,WASP-South,Published Confirmed,0,<a refstr=HELLIER_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019MNRAS.488.3067H/abstract target=ref>Hellier et al. 2019</a>,5.44354,4e-06,-4.00E-06,0,0.0641,0.0011,-0.0011,0,7.06167,0.33627,-0.33627,0,0.63,0.03,-0.03,0,0.101,0.005,-0.005,0,0.54,0.09,-0.09,0,0,,,0,1270,30,-30,0,88,0.7,-0.7,0,0,11.3,0.6,-0.6,0,10.4,0.4,-0.4,0,<a refstr=HELLIER_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019MNRAS.488.3067H/abstract target=ref>Hellier et al. 2019</a>,F9 V,6050,50,-50,0,1.22,0.06,-0.06,0,1.19,0.06,-0.06,0,0.19,0.05,-0.05,0,[Fe/H],4.34,0.05,-0.05,0,2.1,0.9,-0.9,0,0.92,0.14,-0.14,0,5.1,0.3,-0.3,0,8.099082770363048e-05,5.722867975621111e-06,-5.72E-06,11.298161775968063,0.5885023449001165,-0.588502345,0.001922927,9.933166372946875e-05,-9.49E-05,0.1857071948641306,0.016057264,-0.014602589,3.4866786616855067e+74,3.4866786616855067e+74,-3.49E+74,2.799827313238835,0.046615469,-0.046615469,HS,B,0.909753652,A,0.090246348
WASP-167 b,WASP-167,1,1,1,Transit,2017,Multiple Observatories,Published Confirmed,0,<a refstr=TEMPLE_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017MNRAS.471.2743T/abstract target=ref>Temple et al. 2017</a>,2.0219596,6e-07,-6.00E-07,0,0.0365,0.0006,-0.0006,0,17.71022,0.56045,-0.56045,0,1.58,0.05,-0.05,0,8,,,1,,,,,,,,,2329,64,-64,0,79.9,0.3,-0.3,0,0,,,,,,,,,<a refstr=TEMPLE_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017MNRAS.471.2743T/abstract target=ref>Temple et al. 2017</a>,F1 V,7000,250,-250,0,1.79,0.05,-0.05,0,1.59,0.08,-0.08,0,0.1,0.1,-0.1,0,[Fe/H],4.13,0.02,-0.02,0,1.29,0.36,-0.27,0,0.39,0.03,-0.03,0,49.94,0.04,-0.04,0,0.00480125,,,4.384796310616774,0.1421154260094417,-0.142115426,0.004269436,,,0.6813136716167572,,,4.692979656587372e+75,,,3.899962851446454,,,UHJ,C,1,A,3.901912098003456e-12
WASP-169 b,WASP-169,1,1,1,Transit,2019,WASP-South,Published Confirmed,0,<a refstr=NIELSEN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019MNRAS.489.2478N/abstract target=ref>Nielsen et al. 2019</a>,5.6114118,9.2e-06,-9.20E-06,0,0.0681,0.0014,-0.0014,0,14.616536,1.68135,-0.818257,0,1.304,0.15,-0.073,0,0.561,0.061,-0.061,0,0.33,0.074,-0.094,0,0,,,0,1604,74,-42,0,87.9,1.4,-2,0,0,7.3,0.68,-0.26,0,52.9,5.4,-5.4,0,<a refstr=NIELSEN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019MNRAS.489.2478N/abstract target=ref>Nielsen et al. 2019</a>,F8,6110,101,-101,0,2.011,0.188,-0.089,0,1.337,0.083,-0.083,0,0.06,0.07,-0.07,0,[Fe/H],3.958,0.033,-0.076,0,3.802,0.779,-0.779,0,0.234,0.027,-0.055,0,4.3,0.9,-0.9,0,0.000400399,5.013308884696288e-05,-5.01E-05,7.281898673295152,0.355344504,-0.697020036,0.003480201,0.000275253,-0.000265062,0.2958239086445328,0.038596354,-0.041841097,8.847508854512792e+74,8.847508854512792e+74,-8.85E+74,2.912594716827715,0.067781844,-0.110511857,HJ,A1,0.9999964750120798,B,3.5249868815511663e-06
WASP-170 b,WASP-170,1,1,1,Transit,2018,SuperWASP-South,Published Confirmed,0,<a refstr=BARKAOUI_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....157...43B/abstract target=ref>Barkaoui et al. 2019</a>,2.34478022,3.6e-06,-3.60E-06,0,0.0337,0.0018,-0.0018,0,12.285064,0.952765,-0.952765,0,1.096,0.085,-0.085,0,1.6,0.2,-0.2,0,1.6,0.32,-0.25,0,,,,,1422,42,-42,0,84.87,0.28,-0.28,0,0,7.71,0.21,-0.18,0,255,15,-15,0,<a refstr=BARKAOUI_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....157...43B/abstract target=ref>Barkaoui et al. 2019</a>,,5600,150,-150,0,0.938,0.056,-0.061,0,0.93,0.15,-0.15,0,0.22,0.09,-0.09,0,[Fe/H],4.466,0.031,-0.031,0,,,,,1.58,0.13,-0.11,0,5.6,1,-1,0,0.001641718,0.000335005,-0.000335005,7.725678881,0.6501538624223923,-0.618882306,0.002756485,0.000445857,-0.000382167,0.4596327589354586,0.1092337074461272,-0.085689838,2.135877851588472e+75,2.135877851588472e+75,-2.14E+75,3.518685913,0.086515073,-0.086515073,FHJ,A1,0.9999370381419558,B,6.263592441445328e-05
WASP-171 b,WASP-171,1,1,1,Transit,2019,WASP-South,Published Confirmed,0,<a refstr=NIELSEN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019MNRAS.489.2478N/abstract target=ref>Nielsen et al. 2019</a>,3.8186244,3.8e-06,-3.80E-06,0,0.0504,0.00083,-0.00083,0,10.98482,0.78463,-0.44836,0,0.98,0.07,-0.04,0,1.084,0.094,-0.094,0,1.5,0.23,-0.29,0,0,,,0,1642,51,-35,0,88.3,1.1,-1.9,0,0,6.64,0.38,-0.13,0,126,10,-10,0,<a refstr=NIELSEN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019MNRAS.489.2478N/abstract target=ref>Nielsen et al. 2019</a>,G0,5965,100,-100,0,1.637,0.091,-0.046,0,1.171,0.058,-0.058,0,0.04,0.07,-0.07,0,[Fe/H],4.08,0.02,-0.049,0,5.908,1.051,-1.051,0,0.381,0.024,-0.059,0,6.3,0.9,-0.9,0,0.000883352,8.821540039040789e-05,-8.82E-05,6.620510020143812,0.2156319208804315,-0.383840883,0.003353009,0.000210855,-0.000204584,0.4360348561420327,0.043926308,-0.04632692,1.9221925041140663e+75,1.9221925041140663e+75,-1.92E+75,3.4467641691807342,0.051722142,-0.072577618,HJ,A1,0.9995974103845366,B,0.00040259
WASP-174 b,WASP-174,1,1,1,Transit,2018,SuperWASP-South,Published Confirmed,0,<a refstr=MANCINI_ET_AL__2020 href=https://ui.adsabs.harvard.edu/abs/2020A&A...633A..30M/abstract target=ref>Mancini et al. 2020</a>,4.2337005,1.8e-06,-1.80E-06,0,0.05503,0.00056,-0.00056,0,16.10730527,0.56044903,-0.56044903,0,1.437,0.05,-0.05,0,0.33,0.091,-0.091,0,0.135,0.042,-0.042,0,0,,,0,1528,17,-17,0,83.78,0.096,-0.096,0,0,8.789,0.088,-0.088,0,36.1,9.8,-9.8,0,<a refstr=MANCINI_ET_AL__2020 href=https://ui.adsabs.harvard.edu/abs/2020A&A...633A..30M/abstract target=ref>Mancini et al. 2020</a>,,6399,68,-68,0,1.347,0.018,-0.018,0,1.24,0.038,-0.038,0,0.06,0.06,-0.06,0,[Fe/H],4.273,0.01,-0.01,0,2.2,0.52,-0.52,0,0.716,0.022,-0.022,0,16.24,0.53,-0.53,0,0.000253953,7.046062443864104e-05,-7.05E-05,8.784994769545747,0.1475583546793539,-0.147558355,0.00241626,0.00025861,-0.000289951,0.2017438402233252,0.035028902,-0.036342315,4.1148596877438657e+74,4.1148596877438657e+74,-4.11E+74,2.597787441972792,0.1235145480868108,-0.123514548,HJ,A1,0.999999531,B,4.690208045917808e-07
WASP-175 b,WASP-175,1,1,1,Transit,2019,WASP-South,Published Confirmed,0,<a refstr=NIELSEN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019MNRAS.489.2478N/abstract target=ref>Nielsen et al. 2019</a>,3.0652907,1.1e-06,-1.60E-06,0,0.04403,0.00055,-0.00055,0,13.540472,0.907929,-0.907929,0,1.208,0.081,-0.081,0,0.99,0.13,-0.13,0,0.74,0.2,-0.15,0,0,,,0,1571,49,-49,0,85.33,0.62,-0.62,0,0,7.86,0.41,-0.41,0,124,17,-17,0,<a refstr=NIELSEN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019MNRAS.489.2478N/abstract target=ref>Nielsen et al. 2019</a>,F7,6229,100,-100,0,1.204,0.064,-0.064,0,1.212,0.045,-0.045,0,0.15,0.069,-0.069,0,[Fe/H],4.359,0.045,-0.045,0,1.745,0.995,-0.995,0,0.977,0.176,-0.133,0,4,,,1,0.00077946,0.000106366,-0.000106366,7.863787852957202,0.4293954391745279,-0.429395439,0.002809568,0.000192145,-0.000194253,0.3448180144165099,0.044553737,-0.041231358,1.2020827288202719e+75,1.2020827288202719e+75,-1.20E+75,3.2256883643906797,0.081512744,-0.081512744,HJ,A1,0.999975901,B,2.4099157992339258e-05
WASP-176 b,WASP-176,1,1,1,Transit,2020,SuperWASP-North,Published Confirmed,0,<a refstr=COOKE_ET_AL__2020 href=https://ui.adsabs.harvard.edu/abs/2020AJ....159..255C/abstract target=ref>Cooke et al. 2020</a>,3.899052,5e-06,-5.00E-06,0,0.0535,0.001,-0.0019,0,16.869545,0.56045,-0.504405,0,1.505,0.05,-0.045,0,0.855,0.072,-0.069,0,0.31,0.042,-0.042,0,0,,,0,1721,28,-21,0,86.7,1.3,-1.1,0,0,,,,,,,,,<a refstr=COOKE_ET_AL__2020 href=https://ui.adsabs.harvard.edu/abs/2020AJ....159..255C/abstract target=ref>Cooke et al. 2020</a>,F9,5941,77,-79,0,1.925,0.047,-0.044,0,1.345,0.08,-0.13,0,0.164,0.081,-0.082,0,[Fe/H],3.995,0.037,-0.053,0,4.81,0.191,-0.191,0,0.371,0.042,-0.045,0,3.8,1,-1,0,0.000606604,7.776242276458814e-05,-6.08E-05,5.976303414854515,0.1764603619874474,-0.25756178,0.003140136,0.000259333,-0.000251459,0.3004092769296519,0.036844122,-0.030046886,9.12391317768504e+74,9.12391317768504e+74,-9.12E+74,2.9710801532318043,0.044855561,-0.045399325,HJ,A1,0.9999999172392176,B,8.275865636243579e-08
WASP-177 b,WASP-177,1,1,1,Transit,2019,SuperWASP,Published Confirmed,0,<a refstr=TURNER_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019MNRAS.485.5790T/abstract target=ref>Turner et al. 2019</a>,3.071722,1e-06,-1.00E-06,0,0.03957,0.00058,-0.00058,0,17.71022,7.39794,-4.03524,0,1.58,0.66,-0.36,0,0.508,0.038,-0.038,0,0.172,0.203,-0.11,0,,,,,1142,32,-32,0,84.14,0.66,-0.83,0,0,9.61,0.42,-0.53,0,77.3,5.2,-5.2,0,<a refstr=TURNER_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019MNRAS.485.5790T/abstract target=ref>Turner et al. 2019</a>,K2,5017,70,-70,0,0.885,0.046,-0.046,0,0.876,0.038,-0.038,0,0.25,0.04,-0.04,0,[Fe/H],4.486,0.049,-0.037,0,9.7,3.9,-3.9,0,1.78,0.32,-0.21,0,1.8,1,-1,0,0.000553377,4.7851101166618864e-05,-4.79E-05,9.614625435179295,0.5192337988959771,-0.519233799,0.002252506,0.000123505,-0.000120195,0.2408335949307146,0.051797152,-0.051768558,5.863927617424158e+74,5.863927617424158e+74,-5.86E+74,2.7027365767384297,0.2005549817910105,-0.364279776,HJ,A1,0.9999999829726806,B,1.7018147587388445e-08
